"","postcode","lat","lon","suburb","state"
"315",2016,-33.892778,151.203901,"REDFERN","NSW"
"316",2017,-33.905169,151.206189,"WATERLOO,
ZETLAND","NSW"
"317",2018,-33.9227725,151.208153,"EASTLAKES,
ROSEBERY","NSW"
"318",2019,-33.951095,151.2016215,"BANKSMEADOW,
BOTANY","NSW"
"319",2020,-33.9315676666667,151.182666333333,"MASCOT,
SYDNEY DOMESTIC AIRPORT,
SYDNEY INTERNATIONAL AIRPORT","NSW"
"320",2021,-33.889332,151.222916,"MOORE PARK,
PADDINGTON","NSW"
"321",2022,-33.8956476666667,151.248465666667,"BONDI JUNCTION,
BONDI JUNCTION PLAZA,
QUEENS PARK","NSW"
"322",2023,-33.887189,151.258935,"BELLEVUE HILL","NSW"
"323",2024,-33.9001415,151.2579485,"BRONTE,
WAVERLEY","NSW"
"324",2025,-33.885795,151.24413,"WOOLLAHRA","NSW"
"325",2026,-33.891855,151.27224625,"BONDI,
BONDI BEACH,
NORTH BONDI,
TAMARAMA","NSW"
"326",2027,-33.873743,151.2399465,"DARLING POINT,
EDGECLIFF,
HMAS RUSHCUTTERS,
POINT PIPER","NSW"
"327",2028,-33.87906,151.243095,"DOUBLE BAY","NSW"
"328",2029,-33.866555,151.280456,"ROSE BAY","NSW"
"329",2030,-33.8565038,151.2806552,"DOVER HEIGHTS,
HMAS WATSON,
ROSE BAY NORTH,
VAUCLUSE,
WATSONS BAY","NSW"
"330",2031,-33.9144085,151.25039875,"CLOVELLY,
CLOVELLY WEST,
RANDWICK,
ST PAULS","NSW"
"331",2032,-33.9264825,151.2264705,"DACEYVILLE,
KINGSFORD","NSW"
"332",2033,-33.912997,151.219017,"KENSINGTON","NSW"
"333",2034,-33.925892,151.255245,"COOGEE,
SOUTH COOGEE","NSW"
"334",2035,-33.945029,151.239273666667,"MAROUBRA,
MAROUBRA SOUTH,
PAGEWOOD","NSW"
"335",2036,-33.9684234444444,151.234235888889,"CHIFLEY,
EASTGARDENS,
HILLSDALE,
LA PEROUSE,
LITTLE BAY,
MALABAR,
MATRAVILLE,
PHILLIP BAY,
PORT BOTANY","NSW"
"336",2037,-33.881015,151.184459,"FOREST LODGE,
GLEBE","NSW"
"337",2038,-33.881435,151.170681,"ANNANDALE","NSW"
"338",2039,-33.863063,151.170573,"ROZELLE","NSW"
"339",2040,-33.878392,151.1614225,"LEICHHARDT,
LILYFIELD","NSW"
"340",2041,-33.8559056666667,151.183072,"BALMAIN,
BALMAIN EAST,
BIRCHGROVE","NSW"
"341",2042,-33.8979055,151.1755555,"ENMORE,
NEWTOWN","NSW"
"342",2043,-33.902234,151.186192,"ERSKINEVILLE","NSW"
"343",2044,-33.9170203333333,151.168992333333,"ST PETERS,
SYDENHAM,
TEMPE","NSW"
"344",2045,-33.880496,151.138839,"HABERFIELD","NSW"
"345",2046,-33.8598891428571,151.132147428571,"ABBOTSFORD,
CANADA BAY,
CHISWICK,
FIVE DOCK,
RODD POINT,
RUSSELL LEA,
WAREEMBA","NSW"
"346",2047,-33.851056,151.154542,"DRUMMOYNE","NSW"
"347",2048,-33.897351,151.16535,"STANMORE","NSW"
"348",2049,-33.8934756666667,151.152374666667,"LEWISHAM,
PETERSHAM,
PETERSHAM NORTH","NSW"
"349",2050,-33.888664,151.1793595,"CAMPERDOWN,
MISSENDEN ROAD","NSW"
"350",2052,-33.906561,151.234417,"UNSW SYDNEY","NSW"
"351",2055,-33.802837,151.104935,"NORTH SYDNEY","NSW"
"352",2057,-33.791988,151.1899,"CHATSWOOD","NSW"
"353",2059,-33.802837,151.104935,"NORTH SYDNEY","NSW"
"354",2060,-33.8407275,151.202966666667,"HMAS WATERHEN,
LAVENDER BAY,
MCMAHONS POINT,
NORTH SYDNEY,
NORTH SYDNEY SHOPPINGWORLD,
WAVERTON","NSW"
"355",2061,-33.8469005,151.2121365,"KIRRIBILLI,
MILSONS POINT","NSW"
"356",2062,-33.821953,151.21043,"CAMMERAY","NSW"
"357",2063,-33.815028,151.222266,"NORTHBRIDGE","NSW"
"358",2064,-33.807664,151.189662,"ARTARMON","NSW"
"359",2065,-33.8247235,151.195000333333,"CROWS NEST,
GREENWICH,
NAREMBURN,
ROYAL NORTH SHORE HOSPITAL,
ST LEONARDS,
WOLLSTONECRAFT","NSW"
"360",2066,-33.8205132857143,151.163456142857,"LANE COVE,
LANE COVE NORTH,
LANE COVE WEST,
LINLEY POINT,
LONGUEVILLE,
NORTHWOOD,
RIVERVIEW","NSW"
"361",2067,-33.7959745,151.1762355,"CHATSWOOD,
CHATSWOOD WEST","NSW"
"362",2068,-33.7977808333333,151.202382833333,"CASTLECRAG,
MIDDLE COVE,
NORTH WILLOUGHBY,
WILLOUGHBY,
WILLOUGHBY EAST,
WILLOUGHBY NORTH","NSW"
"363",2069,-33.7825673333333,151.190751333333,"CASTLE COVE,
ROSEVILLE,
ROSEVILLE CHASE","NSW"
"364",2070,-33.775746,151.170990666667,"EAST LINDFIELD,
LINDFIELD,
LINDFIELD WEST","NSW"
"365",2071,-33.759937,151.166025,"EAST KILLARA,
KILLARA","NSW"
"366",2072,-33.757349,151.155678,"GORDON","NSW"
"367",2073,-33.7522615,151.1335705,"PYMBLE,
WEST PYMBLE","NSW"
"368",2074,-33.72888225,151.1291325,"NORTH TURRAMURRA,
SOUTH TURRAMURRA,
TURRAMURRA,
WARRAWEE","NSW"
"369",2075,-33.719248,151.1609985,"ST IVES,
ST IVES CHASE","NSW"
"370",2076,-33.7133693333333,151.112876333333,"NORMANHURST,
NORTH WAHROONGA,
WAHROONGA","NSW"
"371",2077,-33.69296475,151.101755,"ASQUITH,
HORNSBY,
HORNSBY HEIGHTS,
WAITARA","NSW"
"372",2079,-33.664817,151.117161,"MOUNT COLAH","NSW"
"373",2080,-33.628729,151.226792,"MOUNT KURING-GAI","NSW"
"374",2081,-33.606536,151.160566,"BEROWRA,
COWAN","NSW"
"375",2082,-33.6063105,151.1275995,"BEROWRA HEIGHTS,
BEROWRA WATERS","NSW"
